Clermont-Ferrand;63113;Clermontois;42,67;143 886 (2017);3 372;Clermont Auvergne Métropole;
Aubière;63014;Aubiérois;7,68;10 061 (2017);1 310;Clermont Auvergne Métropole;
Aulnat;63019;Aulnatois;4,21;4 046 (2017);961;Clermont Auvergne Métropole;
Beaumont;63032;Beaumontois;4,01;10 787 (2017);2 690;Clermont Auvergne Métropole;
Blanzat;63042;Blanzatois;6,96;3 749 (2017);539;Clermont Auvergne Métropole;
Cébazat;63063;Cébazaires;10,02;8 604 (2017);859;Clermont Auvergne Métropole;
Le Cendre;63069;Cendrilloux;4,22;5 426 (2017);1 286;Clermont Auvergne Métropole;
Ceyrat;63070;Ceyratois;9,35;6 416 (2017);686;Clermont Auvergne Métropole;
Chamalières;63075;Chamaliérois;3,77;17 173 (2017);4 555;Clermont Auvergne Métropole;
Châteaugay;63099;Châteaugaires;9,08;3 135 (2017);345;Clermont Auvergne Métropole;
Cournon-d'Auvergne;63124;Cournonnais;18,58;20 043 (2017);1 079;Clermont Auvergne Métropole;
Durtol;63141;Durtolois;4,01;2 015 (2017);502;Clermont Auvergne Métropole;
Gerzat;63164;Gerzatois;16,28;10 365 (2017);637;Clermont Auvergne Métropole;
Lempdes;63193;Lempdais;12,3;8 409 (2017);684;Clermont Auvergne Métropole;
Nohanent;63254;Nohanentais;4,2;2 225 (2017);530;Clermont Auvergne Métropole;
Orcines;63263;Orcinois;42,73;3 388 (2017);79;Clermont Auvergne Métropole;
Pérignat-lès-Sarliève;63272;Pérignatois;3,9;2 680 (2017);687;Clermont Auvergne Métropole;
Pont-du-Château;63284;Castel-Pontins;21,61;11 441 (2017);529;Clermont Auvergne Métropole;
Romagnat;63307;Romagnatois;16,84;7 705 (2017);458;Clermont Auvergne Métropole;
Royat;63308;Royadères;6,62;4 651 (2017);703;Clermont Auvergne Métropole;
Saint-Genès-Champanelle;63345;Champanellois;51,58;3 612 (2017);70;Clermont Auvergne Métropole;
Riom;63300;Riomois;31,97;19 180 (2017);600;CA Riom Limagne et Volcans;
Chambaron sur Morge;63244;???;14,05;1 749 (2017);124;CA Riom Limagne et Volcans;
Chanat-la-Mouteyre;63083;Chanatois;14,27;941 (2017);66;CA Riom Limagne et Volcans;
Chappes;63089;;10,21;1 655 (2017);162;CA Riom Limagne et Volcans;
Charbonnières-les-Varennes;63092;Coupaux;32,12;1 728 (2017);54;CA Riom Limagne et Volcans;
Châtel-Guyon;63103;Châtel-Guyonnais;14,06;6 152 (2017);438;CA Riom Limagne et Volcans;
Chavaroux;63107;Chavarounaires;3,98;477 (2017);120;CA Riom Limagne et Volcans;
Le Cheix;63108;Aucheixères;4,63;663 (2017);143;CA Riom Limagne et Volcans;
Clerlande;63112;Clerlandais;8,31;564 (2017);68;CA Riom Limagne et Volcans;
Ennezat;63148;Nazadais;18,31;2 484 (2017);136;CA Riom Limagne et Volcans;
Entraigues;63149;;9,72;661 (2017);68;CA Riom Limagne et Volcans;
Enval;63150;Envalois;4,87;1 486 (2017);305;CA Riom Limagne et Volcans;
Lussat;63200;;9,17;917 (2017);100;CA Riom Limagne et Volcans;
Malauzat;63203;Malauzaires;5,99;1 145 (2017);191;CA Riom Limagne et Volcans;
Malintrat;63204;Malintraires;8,16;1 132 (2017);139;CA Riom Limagne et Volcans;
Marsat;63212;Marsadaires;4,08;1 360 (2017);333;CA Riom Limagne et Volcans;
Les Martres-d'Artière;63213;Martrois;14,96;2 156 (2017);144;CA Riom Limagne et Volcans;
Martres-sur-Morge;63215;Martrois;8,22;670 (2017);82;CA Riom Limagne et Volcans;
Ménétrol;63224;Ménétrolois;8,94;1 635 (2017);183;CA Riom Limagne et Volcans;
Mozac;63245;Mozacois;4,05;3 878 (2017);958;CA Riom Limagne et Volcans;
Pessat-Villeneuve;63278;Villeneuvois;6,26;667 (2017);107;CA Riom Limagne et Volcans;
Pulvérières;63290;Pulvérois;14,75;406 (2017);28;CA Riom Limagne et Volcans;
Saint-Beauzire;63322;;16,08;2 180 (2017);136;CA Riom Limagne et Volcans;
Saint-Bonnet-près-Riom;63327;Brayauds;7,03;2 114 (2017);301;CA Riom Limagne et Volcans;
Saint-Ignat;63362;;15,37;903 (2017);59;CA Riom Limagne et Volcans;
Saint-Laure;63372;;6,89;653 (2017);95;CA Riom Limagne et Volcans;
Saint-Ours;63381;Saint-Oursiens;55,64;1 670 (2017);30;CA Riom Limagne et Volcans;
Sayat;63417;Sayatois;8,29;2 344 (2017);283;CA Riom Limagne et Volcans;
Surat;63424;Suratois;8,73;567 (2017);65;CA Riom Limagne et Volcans;
Varennes-sur-Morge;63443;Varennois;4,93;404 (2017);82;CA Riom Limagne et Volcans;
Volvic;63470;Volvicois;27,78;4 487 (2017);162;CA Riom Limagne et Volcans;
Issoire;63178;Issoiriens;19,69;14 822 (2017);753;CA Agglo Pays d'Issoire;
Antoingt;63005;Antoinais;7,83;397 (2017);51;CA Agglo Pays d'Issoire;
Anzat-le-Luguet;63006;;66,56;178 (2017);2,7;CA Agglo Pays d'Issoire;
Apchat;63007;Apchatois;35,86;166 (2017);4,6;CA Agglo Pays d'Issoire;
Ardes;63009;Ardoisiens;16,59;561 (2017);34;CA Agglo Pays d'Issoire;
Augnat;63017;Augnatois;9,54;172 (2017);18;CA Agglo Pays d'Issoire;
Aulhat-Flat;63160;;12,78;911 (2017);71;CA Agglo Pays d'Issoire;
Auzat-la-Combelle;63022;;12,74;2 076 (2017);163;CA Agglo Pays d'Issoire;
Bansat;63029;Bansatois;10,31;253 (2017);25;CA Agglo Pays d'Issoire;
Beaulieu;63031;;8,65;461 (2017);53;CA Agglo Pays d'Issoire;
Bergonne;63036;Bergougnoux;5,75;339 (2017);59;CA Agglo Pays d'Issoire;
Boudes;63046;Boudigans;7,92;287 (2017);36;CA Agglo Pays d'Issoire;
Brassac-les-Mines;63050;Brassacois;7,2;3 311 (2017);460;CA Agglo Pays d'Issoire;
Brenat;63051;Brenatois;8,83;622 (2017);70;CA Agglo Pays d'Issoire;
Le Breuil-sur-Couze;63052;Breuillois;5,94;1 046 (2017);176;CA Agglo Pays d'Issoire;
Le Broc;63054;;17,45;679 (2017);39;CA Agglo Pays d'Issoire;
Chadeleuf;63073;Chadeleufois;5,7;428 (2017);75;CA Agglo Pays d'Issoire;
Chalus;63074;Chalusiens;6,58;178 (2017);27;CA Agglo Pays d'Issoire;
Champagnat-le-Jeune;63079;;9,39;149 (2017);16;CA Agglo Pays d'Issoire;
Champeix;63080;Champillauds;12,12;1 360 (2017);112;CA Agglo Pays d'Issoire;
La Chapelle-Marcousse;63087;;19,72;63 (2017);3,2;CA Agglo Pays d'Issoire;
La Chapelle-sur-Usson;63088;;6,78;74 (2017);11;CA Agglo Pays d'Issoire;
Charbonnier-les-Mines;63091;Charbonniers;3,36;898 (2017);267;CA Agglo Pays d'Issoire;
Chassagne;63097;;16,06;73 (2017);4,5;CA Agglo Pays d'Issoire;
Chidrac;63109;Chidracois;3,57;523 (2017);146;CA Agglo Pays d'Issoire;
Clémensat;63111;Clémensatois;3,21;118 (2017);37;CA Agglo Pays d'Issoire;
Collanges;63114;Collangeois;4,45;158 (2017);36;CA Agglo Pays d'Issoire;
Coudes;63121;Coudois;4,66;1 249 (2017);268;CA Agglo Pays d'Issoire;
Courgoul;63122;Courgoulois;8,44;66 (2017);7,8;CA Agglo Pays d'Issoire;
Dauzat-sur-Vodable;63134;;14,99;80 (2017);5,3;CA Agglo Pays d'Issoire;
Égliseneuve-des-Liards;63145;;8,35;143 (2017);17;CA Agglo Pays d'Issoire;
Esteil;63156;Esteillois;4,55;63 (2017);14;CA Agglo Pays d'Issoire;
Gignat;63166;Gignatois;3,49;239 (2017);68;CA Agglo Pays d'Issoire;
